id,score
"37270","-1"
"37327","3"
"37338","-1"
"37380","13"
"37383","10"
"37388","6"
"37417","6"
"37457","2"
"37472","2"
"37481","28"
"37505","6"
"37519","12"
"37559","1"
"37568","2"
"37577","6"
"37588","42"
"37639","2"
"37676","6"
"37724","2"
"37734","2"
"37820","1"
"37855","14"
"37861","2"
"37864","4"
"37871","3"
"37875","8"
"37893","2"
"37934","-3"
"37949","-4"
"37989","2"
"38001","28"
"38037","10"
"38051","8"
"38062","3"
"38071","11"
"38074","7"
"38112","5"
"38119","2"
"38134","3"
"38147","1"
"38149","2"
"38150","1"
"38156","1"
"38241","11"
"38245","-1"
"38247","1"
"38250","5"
"38321","8"
"38331","-3"
"38501","3"
"38502","6"
"38504","8"
"38546","1"
"38567","3"
"38629","25"
"38644","12"
"38655","2"
"38660","-1"
"38708","2"
"38715","3"
"38890","7"
"38899","2"
"38925","3"
"38942","11"
"38960","6"
"38972","5"
"38990","4"
"39014","4"
"39051","5"
"39055","1"
"39077","3"
"39087","0"
"39097","3"
"39101","120"
"39122","8"
"39165","5"
"39205","7"
"39271","3"
"39285","1"
"39297","-3"
"39440","21"
"39520","0"
"39524","14"
"39530","7"
"39540","5"
"39547","5"
"39555","1"
"39585","6"
"39662","4"
"39692","-9"
"39696","2"
"39711","5"
"39729","9"
"39762","4"
"39775","1"
"39801","7"
"39833","8"
"39857","5"
"39882","-3"
"39892","1"
"39893","3"
"39913","9"
"39925","41"
"39930","8"
"39933","3"
"39990","21"
"40023","1"
"40085","-1"
"40127","3"
"40154","0"
"40182","2"
"40185","2"
"40227","47"
"40255","1"
"40274","0"
"40289","2"
"40291","53"
"40298","3"
"40336","-2"
"40392","-4"
"40395","2"
"40396","3"
"40416","0"
"40482","0"
"40534","3"
"40562","2"
"40594","3"
"40616","1"
"40655","4"
"40720","1"
"40808","0"
"40849","5"
"40861","2"
"40869","2"
"40992","0"
"40995","3"
"41010","0"
"41058","1"
"41122","12"
"41139","1"
"41160","1"
"41230","25"
"41239","3"
"41333","0"
"41343","2"
"41350","3"
"41364","1"
"41393","1"
"41459","-1"
"41478","2"
"41502","3"
"41539","2"
"41605","1"
"41685","4"
"41688","1"
"41708","1"
"41716","4"
"41783","5"
"41810","-1"
"41905","0"
"41913","1"
"41918","1"
"41943","1"
"41966","11"
"41988","93"
"42014","2"
"42020","7"
"42035","3"
"42071","2"
"42091","1"
"42092","8"
"42093","4"
"42101","4"
"42103","1"
"42168","3"
"42171","6"
"42191","2"
"42209","10"
"42229","1"
"42278","4"
"42289","3"
"42314","4"
"42334","14"
"42369","1"
"42383","29"
"42397","0"
"42406","10"
"42417","8"
"42455","2"
"42462","8"
"42466","6"
"42469","0"
"42476","4"
"42500","65"
"42509","1"
"42601","6"
"42618","16"
"42621","7"
"42626","10"
"42629","3"
"42663","6"
"42782","1"
"42801","0"
"42802","-1"
"42897","2"
"42912","2"
"43008","1"
"43063","0"
"43083","-1"
"43255","3"
"43284","6"
"43287","4"
"43294","17"
"43370","1"
"43373","3"
"43411","3"
"43450","-5"
"43454","0"
"43503","5"
"43522","5"
"43529","18"
"43537","1"
"43539","8"
"43546","4"
"43574","14"
"43615","8"
"43649","0"
"43658","2"
"43669","5"
"43692","2"
"43707","0"
"43737","2"
"43740","7"
"43750","2"
"43780","2"
"43791","1"
"43794","5"
"43807","5"
"43837","-1"
"43856","2"
"43921","2"
"43926","2"
"44018","11"
"44033","2"
"44043","1"
"44131","1"
"44149","1"
"44151","2"
"44181","3"
"44186","5"
"44190","1"
"44210","6"
"44214","33"
"44247","2"
"44275","5"
"44315","2"
"44335","11"
"44337","4"
"44345","12"
"44382","0"
"44419","-2"
"44489","0"
"44532","15"
"44543","0"
"44596","2"
"44620","2"
"44644","0"
"44668","8"
"44705","2"
"44716","8"
"44801","5"
"44843","18"
"44849","39"
"44881","3"
"44980","3"
"44987","8"
"44997","1"
"45049","2"
"45074","5"
"45093","1"
"45097","1"
"45156","3"
"45184","0"
"45254","4"
"45311","2"
"45326","5"
"45328","2"
"45375","2"
"45380","1"
"45410","5"
"45490","3"
"45509","29"
"45527","3"
"45552","1"
"45561","3"
"45578","3"
"45593","5"
"45660","2"
"45680","1"
"45687","18"
"45695","3"
"45712","45"
"45723","0"
"45738","0"
"45750","5"
"45776","0"
"45794","-2"
"45808","0"
"45831","-1"
"45834","10"
"45849","3"
"45871","-2"
"45892","0"
"45919","2"
"45928","6"
"45986","3"
"45999","1"
"46003","2"
"46004","6"
"46020","3"
"46021","14"
"46070","4"
"46080","5"
"46092","6"
"46095","2"
"46099","1"
"46108","2"
"46112","0"
"46124","3"
"46125","-2"
"46164","2"
"46199","3"
"46212","11"
"46268","0"
"46289","4"
"46293","0"
"46340","2"
"46344","4"
"46348","2"
"46353","1"
"46369","-1"
"46395","0"
"46438","2"
"46477","3"
"46484","0"
"46525","4"
"46540","2"
"46563","0"
"46583","2"
"46608","-3"
"46652","5"
"46683","1"
"46696","0"
"46704","3"
"46746","6"
"46764","0"
"46793","5"
"46807","4"
"46818","1"
"46836","13"
"46849","11"
"46900","1"
"46907","2"
"46941","3"
"46953","2"
"46957","2"
"46966","7"
"46973","19"
"46984","1"
"46993","0"
"46997","3"
"47027","1"
"47043","4"
"47070","13"
"47152","1"
"47153","2"
"47182","2"
"47185","8"
"47191","2"
"47192","19"
"47198","12"
"47224","1"
"47232","21"
"47261","4"
"47279","3"
"47334","17"
"47341","4"
"47376","4"
"47400","6"
"47401","9"
"47433","1"
"47467","12"
"47489","16"
"47490","2"
"47509","0"
"47555","6"
"47617","3"
"47618","3"
"47638","8"
"47641","2"
"47652","0"
"47658","2"
"47671","1"
"47692","0"
"47742","5"
"47762","2"
"47789","0"
"47809","2"
"47821","1"
"47887","-1"
"47890","4"
"48040","1"
"48053","3"
"48058","2"
"48092","3"
"48110","6"
"48117","3"
"48139","7"
"48154","0"
"48158","0"
"48187","7"
"48206","5"
"48226","2"
"48249","7"
"48257","4"
"48270","2"
"48302","5"
"48354","-3"
"48378","13"
"48391","1"
"48396","2"
"48411","0"
"48422","6"
"48438","0"
"48539","9"
"48543","3"
"48580","3"
"48601","1"
"48607","10"
"48667","2"
"48705","2"
"48714","0"
"48735","0"
"48754","2"
"48774","-3"
"48826","2"
"48927","1"
"48980","2"
"48988","0"
"49016","1"
"49048","0"
"49056","0"
"49080","0"
"49086","1"
"49097","3"
"49107","-3"
"49163","0"
"49184","2"
"49205","14"
"49206","4"
"49228","-1"
"49260","8"
"49274","3"
"49305","1"
"49332","1"
"49354","1"
"49356","5"
"49441","0"
"49442","2"
"49515","0"
"49550","2"
"49581","1"
"49638","0"
"49647","1"
"49682","7"
"49695","1"
"49699","7"
"49718","1"
"49761","0"
"49771","1"
"49823","1"
"49851","0"
"49859","0"
"50893","0"
"50895","1"
"50913","1"
"50925","1"
"50970","7"
"51010","5"
"51017","8"
"51039","18"
"51056","2"
"51069","10"
"51083","0"
"51182","5"
"51195","3"
"51203","0"
"51207","-2"
"51256","10"
"51306","6"
"51309","1"
"51343","4"
"51344","4"
"51361","0"
"51366","2"
"51369","-5"
"51413","4"
"51425","5"
"51476","2"
"51479","0"
"51554","1"
"51579","3"
"51587","4"
"51614","2"
"51657","-2"
"51675","2"
"51676","1"
"51755","1"
"51784","1"
"51822","1"
"51827","1"
"51843","0"
"51860","7"
"51882","1"
"51936","0"
"51979","4"
"51994","7"
"52000","0"
"52080","2"
"52136","2"
"52149","4"
"52158","-2"
"52186","3"
"52193","3"
"52199","0"
"52262","1"
"52271","-1"
"52278","0"
"52296","1"
"52372","1"
"52436","2"
"52447","3"
"52506","1"
"52512","0"
"52527","2"
"52574","4"
"52643","44"
"52658","0"
"52666","9"
"52667","0"
"52689","0"
"52699","2"
"52704","1"
"52728","3"
"52735","1"
"52742","1"
"52754","-2"
"52804","0"
"52828","0"
"52856","6"
"52862","1"
"52863","8"
"52870","7"
"52879","4"
"52887","1"
"52920","1"
"52980","12"
"53014","8"
"53027","1"
"53029","4"
"53041","5"
"53047","2"
"53065","6"
"53087","2"
"53104","8"
"53162","1"
"53166","2"
"53173","1"
"53265","1"
"53288","0"
"53305","0"
"53359","6"
"53374","1"
"53417","1"
"53440","7"
"53448","13"
"53474","20"
"53528","7"
"53538","0"
"53573","2"
"53596","27"
"53630","3"
"53699","22"
"53753","1"
"53773","24"
"53791","0"
"53841","2"
"53847","3"
"53864","3"
"53867","8"
"53895","2"
"53922","2"
"53929","5"
"53954","0"
"53974","2"
"53978","2"
"54007","6"
"54009","2"
"54027","5"
"54055","1"
"54091","4"
"54099","14"
"54163","0"
"54190","2"
"54244","2"
"54324","8"
"54325","1"
"54343","0"
"54418","0"
"54454","4"
"54480","2"
"54501","1"
"54512","3"
"54547","3"
"54572","3"
"54580","8"
"54590","4"
"54599","-1"
"54630","1"
"54669","0"
"54672","2"
"54706","3"
"54732","1"
"54734","4"
"54744","9"
"54758","0"
"54770","2"
"54831","4"
"54850","0"
"54852","8"
"54857","-5"
"54865","5"
"54929","2"
"54952","1"
"54967","1"
"54986","1"
"55043","0"
"55061","51"
"55075","59"
"55076","113"
"55083","57"
"55086","9"
"55104","1"
"55105","0"
"55119","61"
"55138","6"
"55139","13"
"55179","6"
"55180","4"
"55181","1"
"55185","-2"
"55190","11"
"55191","1"
"55197","4"
"55205","1"
"55244","1"
"55249","73"
"55270","5"
"55272","1"
"55283","23"
"55300","9"
"55313","13"
"55342","-1"
"55354","0"
"55357","0"
"55371","0"
"55380","0"
"55381","5"
"55387","0"
"55419","9"
"55456","3"
"55460","2"
"55467","2"
"55469","2"
"55470","0"
"55514","1"
"55525","26"
"55562","2"
"55580","6"
"55613","5"
