id,ncomments
"86547","7"
"86696","4"
"86857","0"
"86869","1"
"86923","0"
"86990","1"
"87007","11"
"87026","4"
"87102","3"
"87137","0"
"87188","6"
"87320","0"
"87344","0"
"87400","0"
"87458","10"
"87494","0"
"87534","1"
"87542","4"
"87553","2"
"88583","1"
"88601","3"
"88630","5"
"88684","3"
"88724","0"
"88889","1"
"88936","2"
"88980","2"
"89003","3"
"89024","7"
"89080","3"
"89181","3"
"89396","15"
"89397","2"
"89553","5"
"89639","2"
"89916","0"
"90135","3"
"90155","5"
"90230","0"
"90247","2"
"90287","2"
"90289","1"
"90306","0"
"90369","5"
"90534","2"
"90724","3"
"90795","4"
"90936","4"
"90939","2"
"90970","1"
"91039","1"
"91087","11"
"91215","6"
"91309","2"
"91402","10"
"91407","1"
"91431","1"
"91451","0"
"91521","0"
"91773","0"
"91887","1"
"91934","1"
"91969","2"
"92011","7"
"92148","3"
"92180","0"
"92263","0"
"92300","1"
"92421","0"
"92464","2"
"92493","1"
"92642","4"
"92643","0"
"92700","0"
"92748","4"
"92766","12"
"92846","0"
"92875","6"
"92904","0"
"92919","0"
"92979","2"
"93248","0"
"93370","0"
"93447","2"
"93467","7"
"93527","0"
"93542","0"
"93545","0"
"93573","1"
"93648","2"
"93658","2"
"93776","3"
"93836","6"
"93970","5"
"94002","2"
"94017","7"
"94274","4"
"94317","2"
"94473","2"
"94577","0"
"94585","1"
"94633","5"
"94640","0"
"94706","4"
"94711","2"
"94856","0"
"94857","0"
"95119","2"
"95123","0"
"95245","5"
"95276","0"
"95335","2"
"95384","4"
"95524","11"
"95580","4"
"95629","0"
"95641","2"
"95812","16"
"95850","0"
"95936","0"
"95982","1"
"96025","0"
"96078","2"
"96100","1"
"96117","0"
"96212","0"
"96247","0"
"96278","6"
"96335","6"
"96455","11"
"96564","0"
"96589","2"
"96610","1"
"96615","0"
"96787","1"
"96798","2"
"96883","7"
"96947","3"
"97015","3"
"97065","0"
"97146","0"
"97198","7"
"97305","4"
"97368","1"
"97380","5"
"97520","0"
"97689","4"
"97810","0"
"97811","1"
"97892","5"
"97946","6"
"98031","3"
"98075","3"
"98187","0"
"98317","3"
"98389","6"
"98403","4"
"98419","4"
"98427","2"
"98436","0"
"99614","0"
"99840","0"
"99902","3"
"99921","0"
"99989","1"
"100020","4"
"100074","1"
"100140","2"
"100146","2"
"100274","0"
"100309","0"
"100405","3"
"100410","0"
"100418","7"
"100551","2"
"100615","2"
"100643","2"
"100689","7"
"100722","3"
"100743","12"
"100757","3"
"100860","0"
"100926","1"
"100953","9"
"100999","1"
"101179","1"
"101235","0"
"101336","2"
"101406","9"
"101440","2"
"101448","3"
"101453","3"
"101514","0"
"101529","1"
"101530","0"
"101637","2"
"101721","4"
"101758","2"
"101828","1"
"101849","3"
"101957","1"
"101997","2"
"102001","3"
"102026","1"
"102060","0"
"102078","2"
"102169","0"
"102451","3"
"102603","5"
"102674","2"
"102711","1"
"102744","6"
"102799","3"
"102818","3"
"103041","0"
"103058","2"
"103089","7"
"103396","5"
"103408","5"
"103433","5"
"103515","0"
"103602","6"
"103658","2"
"103671","0"
"103689","7"
"103722","2"
"103723","6"
"103823","2"
"103844","1"
"103862","0"
"103933","2"
"103960","1"
"104122","0"
"104152","0"
"104244","0"
"104402","0"
"104486","0"
"104522","1"
"104525","4"
"104692","2"
"104836","0"
"104868","4"
"104921","1"
"104957","1"
"105065","0"
"105197","2"
"105277","1"
"105375","0"
"105434","10"
"105480","6"
"105493","3"
"105541","0"
"105652","2"
"105689","1"
"105834","2"
"105906","2"
"105925","1"
"105934","2"
"106014","6"
"106085","4"
"106122","3"
"106159","2"
"106188","4"
"106206","7"
"106224","1"
"106275","0"
"106310","3"
"106362","0"
"106403","2"
"106501","1"
"106714","1"
"106752","5"
"107035","1"
"107209","2"
"107268","3"
"107301","4"
"107340","2"
"107413","10"
"107441","1"
"107444","4"
"107523","4"
"107565","1"
"107641","2"
"107695","7"
"107699","5"
"107722","6"
"107833","2"
"107846","2"
"108125","5"
"108167","0"
"108179","4"
"108261","6"
"108268","2"
"108320","12"
"108390","2"
"108398","4"
"108461","0"
"108489","3"
"108658","1"
"108738","1"
"108886","0"
"108961","3"
"108985","1"
"108994","1"
"109010","4"
"109091","0"
"109173","1"
"109339","6"
"109342","9"
"109387","7"
"109471","7"
"109590","0"
"109602","7"
"109751","1"
"109822","0"
"109905","0"
"109925","4"
