id,owner_user_id
"1356861","145427"
"1358810","105033"
"1359939","166301"
"1359973","143327"
"1360805","165809"
"1363381","165895"
"1363690",""
"1364130","91729"
"1364922","161433"
"1366182","15345"
"1372211","158209"
"1372643","107565"
"1373574","445105"
"1374288",""
"1377849",""
"1378194","64167"
"1381362",""
"1381937","156242"
"1382608","168739"
"1383971","126294"
"1384807","25068"
"1386253","115305"
"1386367",""
"1387450","3788"
"1388718","68855"
"1391280","84022"
"1393514","51387"
"1393720",""
"1394467","42574"
"1396300","90674"
"1396443",""
"1397112","119382"
"1397487","53771"
"1399511","170841"
"1401159","35142"
"1401278","91632"
"1402770","140899"
"1406060",""
