id,activity_time
"3403488","949269"
"3406286","2650969"
"3407601","1891906"
"3407778","612223"
"3411432","1861"
"3413219","203001"
"3416010","601865"
"3416096","4359844"
"3417294","974183"
"3417579","3484900"
"3419717","8"
"3420652","1541764"
"3424752","4293913"
"3428750","1994867"
"3440114","27"
"3441193","4064127"
"3441927","163"
"3445910","749"
"3445988","4274876"
"3446201","294554"
"3447691","1"
"3447990","61"
"3450441","11198"
"3454942","433427"
"3460559","19"
"3460995","563"
"3464698","11"
"3470210","8"
"3470415","1856851"
"3473453","27649"
"3473841","18"
"3476257","16"
"3482854","1922485"
"3483377","1620"
"3484022","261"
"3485929","162"
"3486471","41"
"3487532","2026205"
"3489859","12964"
"3490220","913577"
"3491442","559274"
"3493217","2223580"
"3495612","196"
"3499348","8891"
"3500925","107279"
"3501010","24"
"3501441","66"
"3503023","42"
"3507841","1110123"
"3508432","820"
"3509159","381403"
"3509676","339511"
"3512165","10"
"3515205","896"
"3517773","241806"
"3520024","60"
"3520639","523468"
"3529298","2435759"
"3529669","577496"
"3529695","5061708"
"3531122","25"
"3535800","1668419"
"3536465","2272839"
"3540652","5195925"
"3541457","1662322"
"3542379","1261600"
"3542579","132"
"3542905","8"
"3544484","102"
"3545281","176"
"3547593","4328294"
"3550763","44"
"3551599","14"
"3557339","2124174"
"3557928","87"
"3558028","13"
"3558842","1296"
"3559452","59"
"3559938","5214132"
"3560800","501"
"3561742","58"
"3564582","4212034"
"3565378","122"
"3565600","268469"
"3566016","1318896"
"3566491","1025343"
"3570208","7"
"3570229","64"
"3575160","2571657"
"3575773","652528"
"3576673","948"
"3584135","47"
"3588465","1248"
"3589668","175"
"3590391","1434"
"3590550","45"
"3595037","23"
"3598129","185"
"3599442","1464514"
"3603573","302"
"3605994","612"
"3607682","16"
"3614059","2083480"
"3617015","3606332"
"3617442","62165"
"3617542","11"
"3618788","0"
"3621083","118"
"3621358","6"
"3623157","148420"
"3623470","60"
"3623972","12253"
"3624230","1634"
"3624336","3048"
"3627036","1187"
"3629131","1406"
"3642566","3132045"
"3644899","38"
"3645131","4691632"
"3645844","1690335"
"3648417","82"
"3649017","111"
"3649189","6"
"3652028","4352482"
"3653474","133888"
"3655970","5125424"
"3656993","88"
"3661671","4"
"3665078","41"
"3666221","9"
"3673189","589"
"3673596","2010634"
"3676501","54"
"3679736","15"
"3681122","976"
"3684239","1864005"
"3684246","7622"
"3687244","1047095"
"3687897","17"
"3689871","104707"
"3700459","4137033"
"3704145","217073"
"3705611","19"
"3707137","302594"
"3707854","3"
"3714394","4687694"
"3718424","1798271"
"3719494","882585"
"3719792","1730"
"3720054","152"
"3720872","193"
"3722257","378"
"3724612","9"
"3726841","7"
"3727534","3624849"
"3728713","5368"
"3729726","23"
"3731005","175358"
"3732693","311661"
"3732775","4113188"
"3733927","654"
"3734363","1132"
"3735092","869"
"3747200","33"
"3750385","1047958"
"3751987","101259"
"3752736","1060"
"3756110","361033"
"3756462","3007005"
"3756899","756761"
"3757901","147"
"3760792","183"
"3762755","468"
"3763304","178"
"3766122","2866686"
"3766506","675"
"3768463","3608966"
"3769339","4538455"
"3771425","7"
"3771696","293"
"3773944","86"
"3774698","54"
"3775453","16"
"3776387","14"
"3779912","1836364"
