id,view_count
"1999735","1288"
"1999781","11243"
"1999840","8950"
"2003395","2506"
"2006534","4854"
"2008349","701"
"2011386","267"
"2014135","1813"
"2015389","892"
"2017587","3627"
"2017904","2104"
"2020705","671"
"2020737","1489"
"2022871","920"
"2024153","1138"
"2025763","1960"
"2027451","114"
"2028145","378"
"2034613","1271"
"2034885","1137"
"2044083","2415"
"2044645","1677"
"2051034","2821"
"2051429","2235"
"2053272","264"
"2053404","3675"
"2055061","1611"
"2055085","2099"
"2055354","508"
"2055684","1192"
"2064166","817"
"2064354","462"
"2067846","2231"
"2067866","40532"
"2067901","3683"
"2073628","6708"
"2074094","382"
"2078235","4174"
"2078631","1069"
"2078791","982"
"2078969","1721"
"2087480","1611"
"2095095","4363"
"2096203","3140"
"2099056","1022"
"2099075","3200"
"2099659","9825"
"2100644","2756"
"2101376","332"
"2104598","382"
"2105273","510"
"2105375","50530"
"2105847","209"
"2107251","2167"
"2107370","4308"
"2108860","1142"
"2110102","3763"
"2110302","371"
"2115832","657"
"2117747","6506"
"2122489","2922"
"2128036","6913"
"2128387","1352"
"2128494","591"
"2130605","925"
"2131646","3563"
"2132105","3250"
"2136443","111"
"2137588","305"
"2140716","26089"
"2141029","27134"
"2144385","747"
"2144531","3166"
"2149475","1787"
"2153184","2933"
"2155792","1388"
"2158410","1960"
"2159317","1213"
"2161988","5509"
"2162945","5882"
"2165448","2336"
"2165607","666"
"2169793","1000"
"2170324","109"
"2172252","1192"
"2176440","989"
"2178115","6476"
"2179554","1424"
"2181028","1391"
"2182612","2487"
"2184355","187"
"2184677","1067"
"2186476","521"
"2186719","397"
"2187103","3522"
"2189497","745"
"2191861","343"
"2200929","208"
"2203346","65"
"2203754","5864"
"2203780","4918"
"2204012","2847"
"2207279","668"
"2207452","1237"
"2216107","1358"
"2223721","4806"
"2225940","5671"
"2226831","1503"
"2227875","116"
"2237582","175"
"2241005","149"
"2243554","18576"
"2254953","492"
"2255924","513"
"2256089","1158"
"2256939","53895"
"2258257","1400"
"2264027","991"
"2267637","3166"
"2270979","3733"
"2278816","591"
"2279955","478"
"2282452","2356"
"2285809","218"
"2286565","2168"
"2287618","1263"
"2288644","313"
"2301813","6083"
"2303264","2531"
"2306541","3991"
"2307146","1809"
"2307343","754"
"2312194","2347"
"2312650","357"
"2313154","1303"
"2316977","470"
"2319908","1334"
"2320503","1545"
"2323458","5775"
"2325463","1380"
"2325736","1895"
"2327007","836"
"2332553","581"
"2335944","1550"
"2336633","1746"
"2337250","1020"
"2339915","1149"
"2340555","1537"
"2340964","2059"
"2341141","1607"
"2341724","5317"
"2342430","5959"
"2342730","8855"
"2343030","170"
"2344472","201"
"2346558","11690"
"2347012","1836"
"2350102","1515"
"2351147","1064"
"2353294","1101"
"2355226","799"
"2356983","394"
"2357750","1752"
"2357907","1018"
"2359005","932"
"2359430","1024"
"2360845","104"
"2364273","14707"
"2367643","241"
"2374303","141"
"2374581","322"
"2374811","1813"
"2377887","10539"
"2378983","1035"
"2382410","9122"
"2385592","847"
"2389910","171"
"2390224","149"
