id,view_count
"1109794","1935"
"1112841","1100"
"1113422","72886"
"1116128","523"
"1119656","1350"
"1120381","386"
"1120575","37577"
"1122337","154"
"1122902","4549"
"1129639","3634"
"1130966","1119"
"1134202","5594"
"1136468","555"
"1139360","937"
"1140828","162"
"1141277","269"
"1142933","1801"
"1144026","682"
"1146396","768"
"1148820","4061"
"1149118","4839"
"1154376","2993"
"1154628","130"
"1157775","1161"
"1159729","97331"
"1161851","1178"
"1162491","115153"
"1163319","11796"
"1165040","14708"
"1165192","589"
"1168731","1156"
"1172014","1814"
"1172891","4443"
"1175714","9149"
"1175828","2090"
"1188714","1800"
"1191112","19647"
"1198076","9462"
"1198900","1435"
"1200655","3828"
"1201247","229"
"1205889","86722"
"1207071","183"
"1210042","3586"
"1213246","2735"
"1215930","337"
"1217065","453"
"1218188","478"
"1219663","775"
"1220182","12655"
"1224021","1805"
"1224049","9016"
"1226406","2845"
"1229828","662"
"1230098","1449"
"1232665","1726"
"1235883","1958"
"1237563","231"
"1237768","2401"
"1238082","1963"
"1239177","82"
"1242529","1278"
"1242925","324"
"1245387","76"
"1245396","888"
"1247373","19580"
"1247821","820"
"1249902","447"
"1255286","3128"
"1258117","127"
"1265282","344463"
"1266605","8917"
"1266650","3202"
"1267998","3389"
"1269290","77"
"1271787","1175"
"1276078","664"
"1278066","819"
"1282243","417"
"1282949","768"
"1283352","7253"
"1283476","13188"
"1285832","406"
"1287965","467"
"1288599","94"
"1291584","15275"
"1294360","201"
"1295319","624"
"1295827","1696"
"1297501","1135"
"1299857","1775"
"1300944","677"
"1301863","12499"
"1301991","1897"
"1303305","527"
"1304907","621"
"1305326","1121"
"1306823","5291"
"1312292","1992"
"1314518","61866"
"1314521","17079"
"1315835","8955"
"1319956","232"
"1320496","1171"
"1321508","21697"
"1324294","1185"
"1324512","641"
"1325656","408"
"1326001","3381"
"1327742","2784"
"1329354","1949"
"1332670","6293"
"1333577","3349"
"1335522","3832"
"1336555","2731"
"1336776","101749"
"1337865","3500"
"1345663","13584"
"1347728","9417"
"1349314","1967"
"1349474","1758"
"1350331","750"
"1353375","1139"
"1356861","1352"
"1358810","623030"
"1359939","1244"
"1359973","2489"
"1360805","4526"
"1363381","155"
"1363690","163"
"1364130","1661"
"1364922","409"
"1366182","1802"
"1372211","1321"
"1372643","5721"
"1373574","2037"
"1374288","1033"
"1377849","769"
"1378194","362"
"1381362","5737"
"1381937","4133"
"1382608","6360"
"1383971","962"
"1384807","2415"
"1386253","4331"
"1386367","51"
"1387450","4017"
"1388718","1513"
"1391280","268"
"1393514","2148"
"1393720","341"
"1394467","3860"
"1396300","961"
"1396443","25723"
"1397112","5083"
"1397487","1388"
"1399511","501"
"1401159","134093"
"1401278","857"
"1402770","21475"
"1406060","1717"
"1406063","704"
"1409601","1172"
"1412239","1445"
"1412417","1868"
"1412553","308"
