,userid_so,accountid,userid_sse,topic,score,postid,user_id_type,source
211,247.0,0.0,166737.0,T11,1,191692,answer_owner_id,so
212,247.0,0.0,131009.0,T11,1,191692,answer_owner_id,so
213,247.0,0.0,101564.0,T11,1,191692,answer_owner_id,so
214,247.0,0.0,106456.0,T11,1,191692,answer_owner_id,so
215,247.0,0.0,168744.0,T11,1,191692,answer_owner_id,so
216,247.0,0.0,50459.0,T11,1,191692,answer_owner_id,so
217,247.0,0.0,192284.0,T11,1,191692,answer_owner_id,so
218,247.0,0.0,76440.0,T11,1,191692,answer_owner_id,so
219,247.0,0.0,816.0,T11,1,191692,answer_owner_id,so
220,247.0,0.0,139490.0,T11,1,191692,answer_owner_id,so
221,247.0,0.0,193386.0,T11,1,191692,answer_owner_id,so
222,247.0,0.0,158645.0,T11,1,191692,answer_owner_id,so
223,247.0,0.0,201974.0,T11,1,191692,answer_owner_id,so
224,247.0,0.0,191877.0,T11,1,191692,answer_owner_id,so
225,247.0,0.0,2256.0,T11,1,191692,answer_owner_id,so
226,247.0,0.0,66341.0,T11,1,191692,answer_owner_id,so
227,247.0,0.0,83027.0,T11,1,191692,answer_owner_id,so
228,247.0,0.0,29247.0,T11,1,191692,answer_owner_id,so
229,247.0,0.0,73074.0,T11,1,191692,answer_owner_id,so
230,247.0,0.0,115153.0,T11,1,191692,answer_owner_id,so
231,247.0,0.0,4744.0,T11,1,191692,answer_owner_id,so
232,247.0,0.0,155661.0,T11,1,191692,answer_owner_id,so
233,247.0,0.0,177855.0,T11,1,191692,answer_owner_id,so
234,247.0,0.0,53542.0,T11,1,191692,answer_owner_id,so
235,247.0,0.0,89412.0,T11,1,191692,answer_owner_id,so
236,247.0,0.0,106086.0,T11,1,191692,answer_owner_id,so
237,247.0,0.0,58876.0,T11,1,191692,answer_owner_id,so
238,247.0,0.0,36237.0,T11,1,191692,answer_owner_id,so
239,247.0,0.0,209503.0,T11,1,191692,answer_owner_id,so
240,247.0,0.0,25119.0,T11,1,191692,answer_owner_id,so
241,247.0,0.0,49470.0,T11,1,191692,answer_owner_id,so
242,247.0,0.0,67412.0,T11,1,191692,answer_owner_id,so
243,247.0,0.0,95556.0,T11,1,191692,answer_owner_id,so
244,247.0,0.0,37727.0,T11,1,191692,answer_owner_id,so
245,247.0,0.0,196241.0,T11,1,191692,answer_owner_id,so
246,247.0,0.0,9342.0,T11,1,191692,answer_owner_id,so
247,247.0,0.0,139492.0,T11,1,191692,answer_owner_id,so
248,247.0,0.0,54234.0,T11,1,191692,answer_owner_id,so
249,247.0,0.0,102851.0,T11,1,191692,answer_owner_id,so
250,247.0,0.0,1159.0,T11,1,191692,answer_owner_id,so
251,247.0,0.0,50227.0,T11,1,191692,answer_owner_id,so
252,247.0,0.0,3168.0,T11,1,191692,answer_owner_id,so
253,247.0,0.0,59511.0,T11,1,191692,answer_owner_id,so
254,247.0,0.0,104840.0,T11,1,191692,answer_owner_id,so
255,247.0,0.0,8708.0,T11,1,191692,answer_owner_id,so
256,247.0,0.0,59689.0,T11,1,191692,answer_owner_id,so
257,247.0,0.0,5481.0,T11,1,191692,answer_owner_id,so
258,247.0,0.0,6810.0,T11,1,191692,answer_owner_id,so
259,247.0,0.0,158182.0,T11,1,191692,answer_owner_id,so
260,247.0,0.0,69913.0,T11,1,191692,answer_owner_id,so
261,247.0,0.0,139654.0,T11,1,191692,answer_owner_id,so
262,247.0,0.0,138550.0,T11,1,191692,answer_owner_id,so
263,247.0,0.0,60172.0,T11,1,191692,answer_owner_id,so
264,247.0,0.0,64238.0,T11,1,191692,answer_owner_id,so
265,247.0,0.0,88218.0,T11,1,191692,answer_owner_id,so
266,247.0,0.0,52691.0,T11,1,191692,answer_owner_id,so
267,247.0,0.0,20080.0,T11,1,191692,answer_owner_id,so
268,247.0,0.0,21013.0,T11,1,191692,answer_owner_id,so
269,247.0,0.0,126494.0,T11,1,191692,answer_owner_id,so
270,247.0,0.0,199633.0,T11,1,191692,answer_owner_id,so
271,247.0,0.0,161394.0,T11,1,191692,answer_owner_id,so
272,247.0,0.0,80489.0,T11,1,191692,answer_owner_id,so
273,247.0,0.0,53664.0,T11,1,191692,answer_owner_id,so
274,247.0,0.0,4654.0,T11,1,191692,answer_owner_id,so
275,247.0,0.0,8405.0,T11,1,191692,answer_owner_id,so
276,247.0,0.0,12327.0,T11,1,191692,answer_owner_id,so
277,247.0,0.0,29282.0,T11,1,191692,answer_owner_id,so
